Time,UNIX_time_ms,RSSI,RSSI2,RSSI3,Lux,Acc_x,Acc_y,Acc_z,Temperature,nodeId
2017-08-14 14:32:11.047,1502713931047,61,52,43,177,-1079,-7,110,2431,4
2017-08-14 14:32:11.068,1502713931068,65,53,41,98,-1093,-47,103,2362,6
2017-08-14 14:32:11.087,1502713931087,54,65,39,102,-1050,-52,125,2375,5
2017-08-14 14:32:11.103,1502713931103,58,63,43,108,-1085,-59,113,2437,10
2017-08-14 14:32:11.122,1502713931122,73,59,46,131,-1035,-22,69,2424,12
2017-08-14 14:32:11.141,1502713931141,55,68,30,91,-1010,28,175,2375,7
2017-08-14 14:32:11.244,1502713931244,63,55,48,169,-1054,-51,60,2379,14
2017-08-14 14:32:11.267,1502713931267,38,60,32,185,-1094,-38,132,2390,15
2017-08-14 14:32:11.285,1502713931285,54,63,43,136,-1056,-36,127,2359,18
2017-08-14 14:32:11.303,1502713931303,53,61,37,147,-1102,-59,130,2402,17
2017-08-14 14:32:11.320,1502713931320,61,45,46,208,-1043,60,69,2531,19
2017-08-14 14:32:11.367,1502713931367,53,56,38,121,-1072,5,124,2369,20
2017-08-14 14:32:11.387,1502713931387,56,49,42,177,-1058,-42,102,2410,21
2017-08-14 14:32:11.406,1502713931406,54,60,37,149,-1046,-30,121,2439,22
2017-08-14 14:32:12.086,1502713932086,48,60,42,201,-1090,-57,151,2380,3
2017-08-14 14:32:12.107,1502713932107,60,51,42,177,-1079,-6,114,2424,4
2017-08-14 14:32:12.124,1502713932124,52,65,39,101,-1056,-58,117,2355,5
2017-08-14 14:32:12.140,1502713932140,64,52,40,98,-1090,-50,105,2382,6
2017-08-14 14:32:12.167,1502713932167,54,67,30,91,-1018,31,175,2356,7
2017-08-14 14:32:12.184,1502713932184,47,52,40,136,-1051,-50,76,2290,11
2017-08-14 14:32:12.201,1502713932201,74,59,46,131,-1038,-15,74,2443,12
2017-08-14 14:32:12.218,1502713932218,59,62,43,107,-1083,-54,103,2457,10
2017-08-14 14:32:12.304,1502713932304,63,55,48,170,-1053,-53,58,2385,14
2017-08-14 14:32:12.325,1502713932325,39,59,31,185,-1095,-39,130,2403,15
2017-08-14 14:32:12.342,1502713932342,53,63,43,135,-1058,-42,130,2372,18
2017-08-14 14:32:12.359,1502713932359,53,61,35,147,-1104,-57,132,2402,17
2017-08-14 14:32:12.379,1502713932379,61,43,47,207,-1045,58,69,2498,19
2017-08-14 14:32:12.430,1502713932430,52,56,38,121,-1067,5,124,2369,20
